candidate_id,candidate_name,lead_count,lead_1_url,lead_1_domain,lead_1_title,lead_1_score,lead_2_url,lead_2_domain,lead_2_title,lead_2_score,lead_3_url,lead_3_domain,lead_3_title,lead_3_score,verification_status
015,INPARADISE 饗饗,3,https://inparadise.com.tw/zh-TW/store/Xinyi,inparadise.com.tw,INPARADISE 饗饗｜名饌百匯 | 饗饗官網 | 分店資訊,15,https://inparadise.com.tw/,inparadise.com.tw,INPARADISE 饗饗｜名饌百匯 | 饗饗官網 | 首頁,9,https://inparadise.com.tw/zh-TW/guide,inparadise.com.tw,INPARADISE 饗饗｜名饌百匯 | 饗饗官網 | 遊歷饗饗,9,ranked_official_lead_needs_direct_verification
016,Top Cap Steakhouse,3,https://rsv.skm.com.tw/groups/skm-xinyi/companies/-Ksqc8slrRO0_5uDfFiD/restaurants/-Ksqc8tgi_UBrZNBQZrD/waiting?request_locale=en_US,rsv.skm.com.tw,TOP CAP STEAKHOUSE 線上候位｜台北信義新天地A4｜新光三越,10,https://rsv.skm.com.tw/groups/skm-xinyi/companies/-Ksqc8slrRO0_5uDfFiD/restaurants/-Ksqc8tgi_UBrZNBQZrD/booking,rsv.skm.com.tw,TOP CAP STEAKHOUSE 線上訂位｜台北信義新天地A4｜新光三越,10,https://mibaoma.tw/topcap-steakhouse/,mibaoma.tw,台北信義區最銷魂米其林牛排，從前菜到甜點道道驚豔！ @ 米寶麻幸福滿載,4,ranked_official_lead_needs_direct_verification
017,海底撈台灣信義店（微風南山）,0,,,,,,,,,,,,,no_ranked_official_lead
018,鼎泰豐（信義新光A4店）,1,https://rsv.skm.com.tw/groups/skm-xinyi/companies/-KNf3CgtuFU5cea5_nVg/restaurants/-KNf3CgtuFU5cea5_nVh/takeout,rsv.skm.com.tw,鼎泰豐線上外帶｜台北信義新天地A4｜新光三越,8,,,,,,,,,ranked_official_lead_needs_direct_verification
019,泰集 Thai Bazaar（微風信義店）,2,https://carp0729.tw/2021/09/thaibazaar.html,carp0729.tw,【台北信義】泰集 Thai Bazaar｜23道經典料理吃到飽 @魚樂分享誌 @ 魚樂分享誌,4,https://biaolazylife.tw/thaibazaar/,biaolazylife.tw,【台北信義美食】泰集Thai Bazaar (微風信義店) | 走進時尚泰料理間 - 彪彪懶廢日常 My Lazy Life,4,,,,,ranked_official_lead_needs_direct_verification
020,探索廚房－台北寒舍艾美酒店,3,https://www.tablecheck.com/zh-TW/le-meridien-taipei-latest-recipe/reserve/landing,tablecheck.com,探索廚房 - 台北寒舍艾美酒店 - TableCheck,9,https://www.lemeridien-taipei.com/websev?lang=zh-tw&id=807,lemeridien-taipei.com,台北寒舍艾美酒店- Le Méridien Taipei - 食尚饗宴- 探索廚房,9,https://icecreamcat.tw/love-lemeridien/,icecreamcat.tw,改裝後【探索廚房吃到飽】台北寒舍艾美酒店飯店自助餐價格與訂位，信義區Buffet @冰淇淋貓的軟爛生活,4,ranked_official_lead_needs_direct_verification
021,勞瑞斯牛肋排餐廳,1,https://www.lawrys.com.tw/,lawrys.com.tw,首頁 | Lawry's Taipei 勞瑞斯餐廳,5,,,,,,,,,ranked_official_lead_needs_direct_verification
022,CÉ LA VI Taipei,2,https://www.starfishconcept.com/portfolio/ce-la-vi-taipei/,starfishconcept.com,全球餐飲生活品牌CÉ LA VI首度進駐台北 - STARFiSH CONCEPT 星予國際,7,https://www.wowlavie.com/article/ae1900686,wowlavie.com,頂級餐飲生活品牌CÉ LA VI 全球最新據點將攻佔時尚繁華的台北信義區 | La Vie,7,,,,,ranked_official_lead_needs_direct_verification
023,侯布雄法式餐廳,2,https://www.bellavita.com.tw/cht/store.php?d=38,bellavita.com.tw,L'ATELIER de Joël Robuchon 侯布雄法式餐廳,8,https://www.bellavita.com.tw/catalogue/goodslist.php?d=199,bellavita.com.tw,侯布雄法式餐廳 - Bellavita,7,,,,,ranked_official_lead_needs_direct_verification
024,老乾杯－台北信義店,1,https://rsv.skm.com.tw/groups/skm-xinyi/companies/-Ksq_LYziPrwRXZXlsQT/restaurants/-Ksq_LZxV6JgslJQmWVG/booking,rsv.skm.com.tw,老乾杯線上訂位｜台北信義新天地A9｜新光三越,8,,,,,,,,,ranked_official_lead_needs_direct_verification
025,French Windows－British TeaHouse,2,https://carp0729.tw/2020/12/french-windows.html,carp0729.tw,【台北信義】French Windows British Teahouse 琺蘭綺瑥朵英式茶餐館｜松菸美食 @魚樂分享誌 @ 魚樂分享誌,4,https://mapofthebest.com/tw/french-windows-british-teahouse,mapofthebest.com,French Windows British Teahouse 琺蘭綺瑥朵英式茶餐館 - Map of the Best,4,,,,,ranked_official_lead_needs_direct_verification
026,欣葉台菜－信義A9店,2,https://rsv.skm.com.tw/groups/skm-xinyi/companies/-Ksq_zKmqbP-1vmdhETc:inline-live-shinyeh/restaurants/-Ksq_zLmBwbOVb1EtmTL/booking,rsv.skm.com.tw,欣葉台菜線上訂位｜台北信義新天地A9｜新光三越,8,https://rsv.skm.com.tw/groups/skm-xinyi/companies/-Ksq_zKmqbP-1vmdhETc:inline-live-shinyeh/restaurants/-Ksq_zLmBwbOVb1EtmTL/takeout?request_locale=en_US,rsv.skm.com.tw,欣葉台菜線上外帶｜台北信義新天地A9｜新光三越,8,,,,,ranked_official_lead_needs_direct_verification
027,Meat Love 橡木炭火韓國烤肉,2,https://meatlove.tw/,meatlove.tw,Meat Love 橡木炭火韓國烤肉,9,https://kellyrosie.com/post-467659328/,kellyrosie.com,【台北信義燒肉】MEAT LOVE 橡木炭火韓國烤肉。頂級橡木炭火燒肉，韓國料理，信義世貿商圈，近101/世貿站 – 閒閒小魚出遊中,4,,,,,ranked_official_lead_needs_direct_verification
028,Saffron 46,1,https://www.saffron46.com/,saffron46.com,SAFFRON 46 - SAFFRON 46 番紅花四十六,7,,,,,,,,,ranked_official_lead_needs_direct_verification
029,春水堂－松菸店,0,,,,,,,,,,,,,no_ranked_official_lead
030,Woolloomooloo,2,https://woolloomooloo.tw/,woolloomooloo.tw,Woolloomooloo - 為這個城市提供多一點選擇,7,http://woolloomooloo.tw/tucker/,woolloomooloo.tw,Woolloomooloo 選擇真實的食材，製作真誠的食物 - WOOLLOOMOOLOO,7,,,,,ranked_official_lead_needs_direct_verification
031,馬辣頂級麻辣鴛鴦火鍋信義店,0,,,,,,,,,,,,,no_ranked_official_lead
032,饗食天堂信義店,2,https://www.eatogether.com.tw/zh-TW/store/EAT007,eatogether.com.tw,饗食天堂 自助美饌｜EATOGETHER | 餐廳據點,8,https://eggrollcat.com/eatogether/,eggrollcat.com,【台北吃到飽推薦】饗食天堂信義店｜高CP值Buffet價錢、菜色一次看饗食天堂 - 捲貓貪玩客,7,,,,,ranked_official_lead_needs_direct_verification
033,Smith & Wollensky 牛排館,3,https://smithandwollensky.com.tw/zh_TW/shop,smithandwollensky.com.tw,商店,10,https://smithandwollensky.com.tw/,smithandwollensky.com.tw,Smith & Wollensky,9,https://smithandwollensky.com.tw/zh_TW/menu/taipei,smithandwollensky.com.tw,極品美饌,9,ranked_official_lead_needs_direct_verification
034,頂鮮101美食美景餐廳,1,https://dingxian.com.tw/,dingxian.com.tw,頂鮮｜極致海鮮餐飲品牌｜官方網站 |,5,,,,,,,,,ranked_official_lead_needs_direct_verification
035,心潮飯店 Sinchao Rice Shoppe,2,https://sosense.tw/sinchao/,sosense.tw,來份慾望炒飯，恣意揮灑的浪漫餐桌《心潮飯店 Sinchao Rice Shoppe》新台派餐酒館 - 質人星球。品玩生活,4,https://fooday.app/en/spots/i6YDoWtU8d9zmv2Z49SN5R,fooday.app,心潮飯店 SINCHAO RICE SHOPPE on Fooday - Your Trusted Food Guide App,4,,,,,ranked_official_lead_needs_direct_verification
036,Hooters Xinyi 美式餐廳,3,https://www.hooters.com.tw/store-guide/,hooters.com.tw,分店資訊 - Hooters 美式餐廳,15,https://www.hooters.com.tw/,hooters.com.tw,Hooters 美式餐廳,9,https://www.hooters.com.tw/en/about-hooters/,hooters.com.tw,About Hooters - Hooters 美式餐廳,9,ranked_official_lead_needs_direct_verification
037,凱林鐵板燒,1,https://shop.ichefpos.com/store/W0Pub0oa/ordering,shop.ichefpos.com,凱林鐵板燒 信義威秀店 | Menu & Order - iCHEF Online Store,8,,,,,,,,,ranked_official_lead_needs_direct_verification
038,DA ANTONIO By 大安東尼,3,https://daantonio.oddle.me/zh_TW,daantonio.oddle.me,DA ANTONIO義大利餐廳- 線上訂餐、外帶外送官網,14,https://globalfoodelicious.com/da-antonio-taipei-101/,globalfoodelicious.com,Da Antonio Restaurant 》台北 101 大安東尼義大利餐廳 - 娜姐 FOODELICIOUS,4,https://auntie.tw/da-antonio/,auntie.tw,【台北】DA ANTONIO 大安東尼 By 隨意鳥地方台北101，脆皮豬腳、經典米蘭奶油蟹肉泡芙，中價位義大利料理推薦 – 水晶安蹄 不務正業過生活,4,ranked_official_lead_needs_direct_verification
039,樂天皇朝台灣,1,https://paradisegrouptw.oddle.me/zh_TW,paradisegrouptw.oddle.me,樂天皇朝 - 外帶外送專區,5,,,,,,,,,ranked_official_lead_needs_direct_verification
040,TGI Friday's,3,https://tgifridays.com.tw/,tgifridays.com.tw,TGI FRIDAYS 星期五美式餐廳,9,https://www.tgifridays.com.tw/food,tgifridays.com.tw,TGI FRIDAYS 星期五美式餐廳,9,https://tgifridays.com.tw/index.php/about-us,tgifridays.com.tw,關於我們,9,ranked_official_lead_needs_direct_verification
041,欣葉日本料理信義店,1,https://www.shinyeh.com.tw/content/zh/brand/Store.aspx?BrandId=4&Id=13,shinyeh.com.tw,分店資訊 | 欣葉國際餐飲集團,6,,,,,,,,,ranked_official_lead_needs_direct_verification
042,莫爾頓牛排館,1,https://carfun.tw/food/52149/,carfun.tw,台北聖誕節年末聚餐約會精選，「莫爾頓牛排館」限量推出世界頂級和牛系列 - CarFun 玩車誌｜玩樂生活、輕鬆懂車,7,,,,,,,,,ranked_official_lead_needs_direct_verification
043,春水堂－信義新光三越A9店,3,https://rsv.skm.com.tw/groups/skm-xinyi/companies/-KsqbueWIURxuxAQ8EIy:inline-live-chunshuitang/restaurants/-KsqbufnXi_ftq44E7bU/takeout?request_locale=en_US,rsv.skm.com.tw,春水堂人文茶館線上外帶｜台北信義新天地A9｜新光三越,8,https://rsv.skm.com.tw/groups/skm-xinyi/companies/-KsqbueWIURxuxAQ8EIy:inline-live-chunshuitang/restaurants/-KsqbufnXi_ftq44E7bU/waiting,rsv.skm.com.tw,春水堂人文茶館線上候位｜台北信義新天地A9｜新光三越,8,https://www.skm.com.tw/brand/12289,skm.com.tw,春水堂 專櫃/門市｜新光三越 | 新光百貨首頁 | 最新優惠 | SKM官方網站,8,ranked_official_lead_needs_direct_verification
044,瓦城泰國料理－台北阪急店,2,https://wa10-thaitown.oddle.me/zh_TW,wa10-thaitown.oddle.me,瓦城泰國料理 | 線上點餐外帶/外送專區,7,https://www.thaitown.com.tw/tw/store,thaitown.com.tw,分店資訊| 瓦城Thai Town Cuisine,6,,,,,ranked_official_lead_needs_direct_verification
045,GB鮮釀餐廳信義店,0,,,,,,,,,,,,,no_ranked_official_lead
046,Bel Air Bar & Grill,3,https://www.myfunnow.com/en/branches/2651,myfunnow.com,"Bel Air Bar and Grill｜Grand Hyatt Taipei | FunNow - On-demand online booking platform for Restaurants, Accommodations, and Massages",5,https://nasheat.tw/bel-air/,nasheat.tw,終於來朝聖威靈頓牛排，香脆的酥皮搭配軟嫩的菲力，超級讚!!,4,https://www.postcard.inc/places/bel-air-bar-and-grill-grand-hyatt-taipei-taipei,postcard.inc,Bel Air Bar & Grill Grand Hyatt Taipei,4,ranked_official_lead_needs_direct_verification
047,茶苑－台北君悅酒店,3,https://www.tablecheck.com/zh-TW/shops/grand-hyatt-taipei-cha-lounge/reserve,tablecheck.com,茶苑 - 台北君悅酒店 - TableCheck,10,https://www.tablecheck.com/zh-TW/grand-hyatt-taipei-cha-lounge/reserve,tablecheck.com,茶苑 - 台北君悦酒店 - TableCheck,9,https://www.myfunnow.com/zh-tw/branches/2653,myfunnow.com,君悅｜茶苑｜台北 101 / 世貿站 | FunNow - 線上即時預訂餐廳、住宿、按摩,5,ranked_official_lead_needs_direct_verification
048,漂亮台式海鮮餐廳,0,,,,,,,,,,,,,no_ranked_official_lead
049,燒肉同話－台北光復南店,1,https://misshuan.tw/chagether-yakiniku-2019-0710/,misshuan.tw,捷運台北101/世貿站美食【燒肉同話/光復南店】也有像台中燒肉套餐系列喔！變裝自己DIY！聚餐聚會！ - 瓦妮又在吃,4,,,,,,,,,ranked_official_lead_needs_direct_verification
050,厲家菜,2,https://www.bellavita.com.tw/dining/familyli.php,bellavita.com.tw,厲家菜 宮廷御膳料理,8,https://www.bellavita.com.tw/cht/store.php?d=112,bellavita.com.tw,厲家菜宮廷御膳料理 - BELLAVITA,8,,,,,ranked_official_lead_needs_direct_verification
051,小南門傳統豆花美食,0,,,,,,,,,,,,,no_ranked_official_lead
052,徐淮人家,1,https://bigpipi.tw/xu-huai-renjia/,bigpipi.tw,【南京復興站美食】徐淮人家，台北徐州菜餐廳推薦 （價錢） @翹臀吃四方,7,,,,,,,,,ranked_official_lead_needs_direct_verification
053,夜上海,0,,,,,,,,,,,,,no_ranked_official_lead
054,Joyce East,3,https://www.joycecafetw.com/JOYCEEAST/?action=menu,joycecafetw.com,JOYCE EAST,9,https://joycecafetw.com/JOYCEEAST/?action=contact,joycecafetw.com,JOYCE EAST,9,https://joycecafetw.com/JOYCEEAST/?action=index,joycecafetw.com,JOYCE EAST,9,ranked_official_lead_needs_direct_verification
055,添好運台北信義店,1,https://donna.tw/timhowan/,donna.tw,添好運｜最新消息、菜單及分店資訊 (持續更新中),7,,,,,,,,,ranked_official_lead_needs_direct_verification
056,Ziga Zaga－台北君悅酒店,3,https://www.myfunnow.com/zh-tw/branches/2668,myfunnow.com,君悅｜Ziga Zaga｜義大利餐廳 | FunNow - 線上即時預訂餐廳、住宿、按摩,5,https://kenalice.tw/blog/post/ziga-zaga,kenalice.tw,【台北信義美食】君悅酒店「Ziga Zaga」30年如一日的道地義式料理餐廳，歷久彌新的經典菜色佐Live樂團曼妙歌聲，沒喝酒都會令人沉醉的夜晚,4,https://girlsplan.com/zigazaga/,girlsplan.com,ZIGA ZAGA 義大利餐廳｜台北君悅酒店期間限定有夠義思吃到飽(菜單) @女子的休假計劃,4,ranked_official_lead_needs_direct_verification
057,原木燒烤餐廳 Wildwood,3,https://www.wildwood.com.tw/index_ch.php,wildwood.com.tw,wildwood live fire cuisine - 原木燒烤賦予現代料理方式所無法複製的獨特迷人風味,9,https://havefunday.com/taiwan-foods/taipei-foods-09/,havefunday.com,WILDWOOD 原木燒烤牛排海鮮餐廳｜米其林餐盤推薦 －嗨放HaveFunDay,4,https://demimondetw.com/wildwood/,demimondetw.com,美食家圖鑑：台北 Wildwood 原木燒烤｜善用自然原食的迷人燻香。 – 半上流社會 Demi Monde,4,ranked_official_lead_needs_direct_verification
058,日本橋海鮮丼 辻半－微風信義店,3,https://bigpipi.tw/tsujihan-breeze-xinyi/,bigpipi.tw,【微風信義美食】日本橋海鮮丼辻半，一丼二吃可變茶泡飯（菜單 價錢） @翹臀吃四方,4,https://zhujunmuqing.com/tsujihan-taipei/,zhujunmuqing.com,【台北美食】日本橋海鮮丼辻半Tsujihan｜海鮮珠寶盒 鯛魚湯漬飯｜一丼二食 – 竹木青，覓食路上不迷失,4,https://tsujihan.kingoshou.com/,tsujihan.kingoshou.com,日本橋海鮮丼 辻半Tsujihan,4,ranked_official_lead_needs_direct_verification
059,穆記小吃牛肉麵館,0,,,,,,,,,,,,,no_ranked_official_lead
060,橘色涮涮屋新光三越A9店,3,https://rsv.skm.com.tw/groups/skm-xinyi/companies/-LL7w1Y0HNb5dvdA1v7N:inline-live-2a466/restaurants/-LL7w1n6jfj2G-vhT__F/booking,rsv.skm.com.tw,橘色涮涮屋線上訂位｜台北信義新天地A9｜新光三越,6,https://kenji.life/orange-shabu-tch/,kenji.life,橘色涮涮屋(台中新光三越店) | 高檔肉品食材新鮮精緻，全程專業貼心的桌邊服務吃火鍋真是好享受。 - 帶著心去旅行,5,https://www.skm.com.tw/skmmedia/39a0ae86-8af3-4887-b62e-99186446dd8e,skm.com.tw,橘色涮涮屋 - 兼具雅緻與尊榮感的美味｜新光三越百貨,5,ranked_official_lead_needs_direct_verification
061,時時香－微風南山店,3,https://ricebar.com.tw/tw/store,ricebar.com.tw,分店資訊｜時時香 SHANN RICE BAR,10,https://www.breeze.com.tw/stores/2445,breeze.com.tw,時時香 - Breeze Center 微風廣場,8,https://www.adriannelife.com/blog/ricebar,adriannelife.com,【台北信義區美食】時時香 RICE BAR 微風南山店，瓦城集團旗下的中式餐廳！ - 倩兒☓魯蛋 ❤ 夢享生活,4,ranked_official_lead_needs_direct_verification
062,L.A PHO 越南美食餐廳,3,https://www.ialley.tw/store/show/12682,ialley.tw,L.A PHO 越南美食餐廳 - 券券,5,https://www.foodytw.com/review/4676,foodytw.com,【台北信義區夜店旁—LA.PHO美式越南餐廳】 - Foody 吃貨,4,https://muzi.com.tw/taipei-l-a-pho/,muzi.com.tw,信義區Neo19美式越南料理「LA PHO 越南美食餐廳」美味越式推薦,4,ranked_official_lead_needs_direct_verification
063,寒舍食譜－台北寒舍艾美酒店,3,https://www.tablecheck.com/zh-TW/le-meridien-taipei-my-humble-house/reserve,tablecheck.com,寒舍食譜 - 台北寒舍艾美酒店 - TableCheck,9,https://www.lemeridien-taipei.com/websev?lang=zh-tw&type=0&cat=22&id=770,lemeridien-taipei.com,台北寒舍艾美酒店 - Le Méridien Taipei,7,https://vivianexplore.tw/my-humble-house/,vivianexplore.tw,【2026寒舍食譜】台北寒舍艾美粵菜推薦｜老廣味菜單、必點料理一次看,4,ranked_official_lead_needs_direct_verification
064,The Ukai Taipei,3,https://www.ukai.co.jp/ct/taipei/,ukai.co.jp,THE UKAI TAIPEI 鐵板燒・割烹料理,9,https://roakuo.com/2025/06/the-ukai-taipei.html,roakuo.com,[台北] 頂級日式鐵板燒，The Ukai Taipei • 鍵盤美食家週記,4,https://globalfoodelicious.com/the-ukai-taipei/,globalfoodelicious.com,The Ukai Taipei 》在微風南山 46 樓美食餐廳品嚐日式割烹料理 - 娜姐 FOODELICIOUS,4,ranked_official_lead_needs_direct_verification
065,愛爾蘭瘋薯（信義威秀）,0,,,,,,,,,,,,,no_ranked_official_lead
066,85TD Chinese Restaurant,3,https://85td-chinese-restaurant.wheree.com/,85td-chinese-restaurant.wheree.com,"捌伍添第 85td Chinese Restaurant - Reviews, Photos & Phone Number - Updated February 2026 - Grocery Stores in 光信里, Da'an District - Wheree",14,https://www.85td-101.com/portal_d800.php?owner_num=d800_92169&button_num=d800,85td-101.com,捌伍添第 85TD-OurCuisine,9,https://www.85td-101.com/index.php?website_language_id=3,85td-101.com,捌伍添第 85TD,9,ranked_official_lead_needs_direct_verification
067,JK STUDIO,1,https://jkstudio.tw/,jkstudio.tw,JK STUDIO,7,,,,,,,,,ranked_official_lead_needs_direct_verification
068,雲錦中餐廳－台北君悅酒店,3,https://www.tablecheck.com/zh-TW/shops/grand-hyatt-taipei-yun-jin/reserve,tablecheck.com,雲錦中餐廳 - 台北君悅酒店 - TableCheck,10,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/yun-jin,hyatt.com,雲錦 | 正宗中餐廳,10,https://www.tablecheck.com/zh-TW/grand-hyatt-taipei-yun-jin/reserve,tablecheck.com,雲錦中餐廳 - 台北君悦酒店 - TableCheck,9,ranked_official_lead_needs_direct_verification
069,味美早餐店 Wei Mei Breakfast Restaurant,0,,,,,,,,,,,,,no_ranked_official_lead
070,TWG Tea at Taipei 101,2,https://twgtea.com/en/locations/taiwan/twg-tea-at-taipei-101,twgtea.com,TWG Tea at Taipei 101,5,https://autoreserve.com/zh-tw/restaurants/CUV7xR6LK2Et6mGx2csH,autoreserve.com,"TWG Tea at Taipei 101 B1預約 | 信義區, 臺北市 | 美國西南料理 | AutoReserve",5,,,,,ranked_official_lead_needs_direct_verification
071,Just Grill,1,https://bigpipi.tw/regent-just-grill/,bigpipi.tw,【市政府站美食】Just Grill，誠品信義餐廳推薦 晶華酒店館外牛排館（菜單） @翹臀吃四方,4,,,,,,,,,ranked_official_lead_needs_direct_verification
072,永心鳳茶,2,https://rsv.skm.com.tw/groups/xinyifoodmap/companies/-LEO0Wi6KTG-6jjVTURQ:inline-live-2a466/restaurants/-LEO0Wi6KTG-6jjVTURR/booking,rsv.skm.com.tw,永心鳳茶線上訂位｜信義商圈｜新光三越,8,https://rsv.skm.com.tw/restaurant_stores/-LEO0Wi6KTG-6jjVTURQ:inline-live-2a466?request_locale=zh_TW,rsv.skm.com.tw,永心鳳茶- 美食地圖,7,,,,,ranked_official_lead_needs_direct_verification
073,歐帕希臘小館,0,,,,,,,,,,,,,no_ranked_official_lead
074,Osteria by Angie,3,https://xinyi.osteria.com.tw/,xinyi.osteria.com.tw,【Osteria by Angie】安琪餐飲集團 / 台北微風信義店,9,https://www.osteria.com.tw/,osteria.com.tw,【Osteria by Angie】安琪餐飲集團,9,https://dazhi.osteria.com.tw/,dazhi.osteria.com.tw,Osteria by Angie / 台北大直店,9,ranked_official_lead_needs_direct_verification
075,紅花鐵板燒－台北101旗艦店,0,,,,,,,,,,,,,no_ranked_official_lead
076,開飯川食堂－台北阪急店,0,,,,,,,,,,,,,no_ranked_official_lead
077,珍寶海鮮台北信義店,0,,,,,,,,,,,,,no_ranked_official_lead
078,酮版低糖餐廳,0,,,,,,,,,,,,,no_ranked_official_lead
079,金色三麥－微風南山店,3,https://www.lebledor.com/location/umami,lebledor.com,UMAMI 微風南山店- LE BLE D'OR 金色三麥,5,https://www.weddingday.com.tw/store-venue/4895,weddingday.com.tw,UMAMI 金色三麥 微風南山店，位於 台北市 的婚宴場地 | WeddingDay好婚市集,5,https://cinnachic.com/lebledor-umami/,cinnachic.com,【信義景觀餐廳】UMAMI 金色三麥。微風南山奢華優雅的金色三麥，朋友聚餐、約會首選！ - 琦那旅途中,4,ranked_official_lead_needs_direct_verification
080,稻舍食館－統一時代店,3,https://www.uni-ustyle.com.tw/zh-tw/brand-floor/146,uni-ustyle.com.tw,稻舍食館 - 統一時代百貨台北店丨DREAM PLAZA,10,https://www.rice1923.com/blogs/menu,rice1923.com,各店菜單 稻舍食館,7,https://www.rice1923.com/blogs/%E9%96%80%E5%B8%82/192871,rice1923.com,統一時代店介紹及菜單 稻舍食館,4,ranked_official_lead_needs_direct_verification
081,點點心,0,,,,,,,,,,,,,no_ranked_official_lead
