store_id,brand_id,official_name_zh,official_name_en,aliases,official_domains,owned_urls,shared_domain_flag,branch_name,district,include_status,exclusion_reason_code,reviewed_by,reviewed_at,truth_source,dataset_version
XY-017,BR-HAIDILAO,海底撈火鍋,Haidilao Hot Pot,海底撈|海底撈火鍋|Haidilao,haidilao.com,https://www.haidilao.com/tw/,true,微風南山店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-018,BR-DINTAIFUNG,鼎泰豐,Din Tai Fung,鼎泰豐|Din Tai Fung|鼎泰豊,dintaifung.com.tw,https://www.dintaifung.com.tw/store-detail.php?id=253,true,信義新光A4店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-019,BR-THAIBAZAAR,泰集 Thai Bazaar,Thai Bazaar,泰集|Thai Bazaar|泰集泰式料理,thaibazaar.com.tw,http://www.thaibazaar.com.tw/,false,微風信義店,信義區,excluded,closed_business,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-020,BR-LM-LATESTRECIPE,探索廚房,Latest Recipe Le Meridien Taipei,探索廚房|寒舍艾美探索廚房|Latest Recipe,lemeridien-taipei.com,https://www.lemeridien-taipei.com/websev?cat=restaurant&id=5,true,台北寒舍艾美酒店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-021,BR-LAWRYS,勞瑞斯牛肋排餐廳,Lawry's The Prime Rib Taipei,勞瑞斯|勞瑞斯牛排|Lawry's,lawrys.com.tw,https://www.lawrys.com.tw/about.php,false,台北店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-022,BR-CELAVI,CÉ LA VI Taipei,CÉ LA VI Taipei,CÉ LA VI|CELAVI|Ce La Vi Taipei,celavi.com,https://tw.celavi.com/zh-tw,false,微風南山店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-023,BR-ROBUCHON,L'Atelier de Joël Robuchon 侯布雄法式餐廳,L'Atelier de Joël Robuchon Taipei,侯布雄|侯布雄法式餐廳|Joël Robuchon,bellavita.com.tw,https://www.bellavita.com.tw/cht/store.php?d=94,true,BELLAVITA店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-024,BR-KANPAICLASSIC,老乾杯,Kanpai Classic,老乾杯|乾杯老乾杯|Kanpai Classic,kanpaiclassic.com.tw,https://www.kanpaiclassic.com.tw/zh/branch,false,台北信義店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-025,BR-FRENCHWINDOWS,琺蘭綺瑥朵英式茶館,French Windows,琺蘭綺瑥朵|French Windows|英國皇家茶館,frenchwindows.com,,false,,信義區,excluded,closed_business,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-026,BR-SHINYEH-TW,欣葉台菜,Shin Yeh Taiwanese Cuisine,欣葉|欣葉台菜|Shin Yeh,shinyeh.com.tw,https://www.shinyeh.com.tw/content/zh/brand/Store.aspx?BrandId=1&Id=1,true,信義A9店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-027,BR-MEATLOVE,Meat Love 橡木炭火韓國烤肉,Meat Love Korean BBQ,Meat Love|Meat Love韓式烤肉|韓國烤肉Meat Love,meatlove.tw,https://meatlove.tw/,false,信義店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-028,BR-SAFFRON46,Saffron 46 番紅花四十六,Saffron 46,Saffron 46|番紅花四十六|Saffron46,saffron46.com,https://www.saffron46.com/,false,微風南山店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-029,BR-CHUNSHUITANG,春水堂人文茶館,Chun Shui Tang,春水堂|春水堂人文茶館|Chun Shui Tang,chunshuitang.com.tw,https://www.chunshuitang.com.tw/location-detail/41,true,松菸店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-030,BR-WOOLLOOMOOLOO,Woolloomooloo,Woolloomooloo,Woolloomooloo|WXYZ|信義Woolloomooloo,woolloomooloo.tw,https://woolloomooloo.tw/,false,信義店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-031,BR-MALA,馬辣頂級麻辣鴛鴦火鍋,Mala Hot Pot,馬辣|馬辣頂級麻辣火鍋|Mala Hot Pot,mala.com.tw,https://www.mala.com.tw/,false,信義店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-032,BR-EATOGETHER,饗食天堂,Eatogether,饗食天堂|Eatogether|饗食天堂信義店,eatogether.com.tw,https://www.eatogether.com.tw/zh-TW/store/EAT007,false,信義店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-033,BR-SWSTEAK,Smith & Wollensky Taipei,Smith & Wollensky,Smith & Wollensky|史密斯華倫斯基|S&W,smithandwollensky.com.tw,https://smithandwollensky.com.tw/,false,微風南山店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-034,BR-DINGXIAN101,頂鮮101美食美景餐廳,Ding Xian 101,頂鮮101|頂鮮台南擔仔麵|Ding Xian,dingxian.com.tw,https://dingxian.com.tw/,false,101店,信義區,excluded,closed_business,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-035,BR-SINCHAO,心潮飯店 Sinchao Rice Shoppe,Sinchao Rice Shoppe,心潮飯店|Sinchao Rice Shoppe|心潮,breeze.com.tw,https://www.breeze.com.tw/floor/store/267,true,微風信義店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-036,BR-HOOTERS,Hooters Taipei Xinyi 美式餐廳,Hooters Taipei Xinyi,Hooters|Hooters信義|美式餐廳Hooters,hooters.com.tw,https://www.hooters.com.tw/en/category/event/xinyi/,false,信義A13店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-037,BR-KAREN,凱林鐵板燒,Karen Teppanyaki,凱林鐵板燒|Karen Teppanyaki|凱林,karenteppanyaki.com,http://karenteppanyaki.com/,false,台北101店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-038,BR-DA-ANTONIO,DA ANTONIO By 大安東尼,DA ANTONIO by Diamond Tony's,大安東尼|DA ANTONIO|隨意鳥大安東尼,dt101.com.tw,https://www.dt101.com.tw/,true,台北101店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-039,BR-PARADISE-DYNASTY,樂天皇朝,Paradise Dynasty,樂天皇朝|Paradise Dynasty|八色小籠包,paradisegp.com,https://www.paradisegp.com/tc/tw/,true,微風信義店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-040,BR-TGIFRIDAYS,TGI FRIDAYS 星期五餐廳,TGI FRIDAYS,TGI Friday's|星期五餐廳|FRIDAYS,tgifridays.com.tw,https://tgifridays.com.tw/,false,信義餐廳,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-041,BR-SHINYEH-JP,欣葉日本料理,Shin Yeh Japanese Buffet,欣葉日本料理|欣葉日料|Shin Yeh JP,shinyeh.com.tw,https://www.shinyeh.com.tw/content/zh/brand/Store.aspx?BrandId=4&Id=13,true,信義新光A11店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-042,BR-MORTONS,莫爾頓牛排館,Morton's The Steakhouse Taipei,莫爾頓|莫爾頓牛排|Morton's,mortons.com,https://www.mortons.com/location/mortons-the-steakhouse-taipei-taiwan/,false,微風信義店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-043,BR-CHUNSHUITANG,春水堂人文茶館,Chun Shui Tang,春水堂|春水堂人文茶館|Chun Shui Tang,chunshuitang.com.tw,https://www.chunshuitang.com.tw/location-detail/40,true,信義新光三越A9店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-044,BR-THAITOWN,瓦城泰國料理,Thai Town Cuisine,瓦城|瓦城泰國料理|Thai Town,thaitown.com.tw,https://www.thaitown.com.tw/store/1,true,台北統一時代店（原阪急店）,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-045,BR-GBBREWERY,GB鮮釀餐廳,Gordon Biersch Brewery Restaurant,GB鮮釀餐廳|GB鮮釀|Gordon Biersch,gbarestaurants.com.tw,https://www.gbarestaurants.com.tw/,false,台北信義店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-046,BR-HYATT-BELAIR,寶艾西餐廳 Bel Air Bar & Grill,Bel Air Bar & Grill Grand Hyatt Taipei,寶艾西餐廳|君悅寶艾|Bel Air Bar & Grill,hyatt.com,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/bel-air-bar-and-grill,true,台北君悅酒店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-047,BR-HYATT-CHAYUAN,茶苑,Cha Yuan Grand Hyatt Taipei,茶苑|君悅茶苑|Cha Yuan,hyatt.com,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/cha-yuan,true,台北君悅酒店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-048,BR-HYATT-PEARL,漂亮廣式海鮮餐廳,Pearl Liang Grand Hyatt Taipei,漂亮廣式海鮮餐廳|君悅漂亮餐廳|Pearl Liang,hyatt.com,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/pearl-liang,true,台北君悅酒店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-049,BR-CHAGETHER,燒肉同話,Chagether Yakiniku,燒肉同話|Chagether|燒肉同話台北光復南店,chagether.com.tw,http://www.chagether.com.tw/,false,台北光復南店,信義區,excluded,closed_business,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-050,BR-FAMILYLI,厲家菜,Family Li Imperial Cuisine,厲家菜|宮廷料理厲家菜|Family Li,bellavita.com.tw,https://www.bellavita.com.tw/,true,BELLAVITA店,信義區,excluded,closed_business,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-051,BR-SNMFOOD,小南門傳統豆花美食,South Gate Traditional Douhua,小南門豆花|小南門傳統美食|小南門點心,snmfood.com.tw,http://www.snmfood.com.tw/,false,微風松高店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-052,BR-XUHUAI,徐淮人家,Xu Huai Ren Jia,徐淮人家|徐淮人家信義店,xuhuai.tw,,false,信義店,信義區,excluded,closed_business,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-053,BR-YESHANGHAI,夜上海,Ye Shanghai Taipei,夜上海|Ye Shanghai|夜上海台北店,elite-concepts.com,https://www.elite-concepts.com/restaurants/ye-shanghai/taipei/zh/,true,信義新光A4店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-054,BR-JOYCEEAST,Joyce East 義法餐廳,Joyce East,Joyce East|Joyce East餐廳|Joyce West,joycecafetw.com,https://www.joycecafetw.com/joyce-east,false,,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-055,BR-TIMHOWAN,添好運,Tim Ho Wan,添好運|添好運點心專門店|Tim Ho Wan,timhowan.com.tw,https://www.timhowan.com.tw/store/xinyi,false,信義新光A4店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-056,BR-HYATT-ZIGAZAGA,Ziga Zaga 義大利餐廳,Ziga Zaga Grand Hyatt Taipei,Ziga Zaga|君悅Ziga Zaga|ZigaZaga,hyatt.com,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/ziga-zaga,true,台北君悅酒店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-057,BR-WILDWOOD,WILDWOOD 原木燒烤牛排海鮮餐廳,WILDWOOD Live Fire Cuisine,Wildwood|WILDWOOD|原木燒烤Wildwood,wildwood.com.tw,https://www.wildwood.com.tw/,false,信義新光A9店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-058,BR-TSUJIHAN,日本橋海鮮丼 辻半,Tsujihan Seafood Donburi,日本橋海鮮丼辻半|辻半|Tsujihan,tsujihan.com.tw,https://tsujihan.com.tw/,false,微風信義店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-059,BR-MUKI,穆記牛肉麵,Mu Ki Beef Noodles,穆記|穆記牛肉麵|穆記小吃牛肉麵館,,https://www.facebook.com/mukibeefnoodles/,false,,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-060,BR-ORANGESHABU,橘色涮涮屋,Orange Shabu Shabu,橘色涮涮屋|橘色火鍋|Orange Shabu,orangeshabu.com,https://orangeshabu.com/zh-TW/store/store_A9,false,信義新光A9店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-061,BR-RICEBAR,時時香 RICE BAR,RICE BAR,時時香|RICE BAR|瓦城時時香,ricebar.com.tw,https://ricebar.com.tw/store/11,false,微風南山店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-062,BR-LAPHO,L.A PHO 越南河粉美食餐廳,L.A PHO Vietnam Restaurant,L.A PHO|LA PHO|洛杉磯越南河粉,,https://www.facebook.com/LAPHOTW/,false,台北Neo19店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-063,BR-LM-MYHUMBLEHOUSE,寒舍食譜,My Humble House Le Meridien Taipei,寒舍食譜|艾美寒舍食譜|My Humble House,lemeridien-taipei.com,https://www.lemeridien-taipei.com/websev?cat=restaurant&id=2,true,台北寒舍艾美酒店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-064,BR-UKAI,The Ukai Taipei,The Ukai Taipei,The Ukai Taipei|Ukai鐵板燒|Ukai鳥匠,ukai-tpe.com.tw,https://www.ukai-tpe.com.tw/,false,微風南山店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-065,BR-IRELANDSPOTATO,愛爾蘭瘋薯,Ireland's Potato,愛爾蘭瘋薯|Ireland's Potato|瘋薯,irelandspotato.com.tw,http://www.irelandspotato.com.tw/,false,信義威秀影城店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-066,BR-85TD,捌伍添第 85TD,85TD Chinese Restaurant,捌伍添第|85TD|捌伍添第中餐廳,85td-101.com,https://www.85td-101.com/,false,台北101旗艦店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-067,BR-JKSTUDIO,JK STUDIO 義法餐廳,JK STUDIO Modern European Cuisine,JK STUDIO|JK Studio義法餐廳|JK法式餐酒館,jkstudio.tw,https://jkstudio.tw/,false,台北信義店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-068,BR-HYATT-YUNJIN,雲錦中餐廳,Yun Jin Chinese Restaurant Grand Hyatt Taipei,雲錦中餐廳|君悅雲錦|Yun Jin,hyatt.com,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/yun-jin,true,台北君悅酒店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-069,BR-WEIMEI,味美早餐店,Wei Mei Breakfast Restaurant,味美早餐|味美早餐店|Wei Mei Breakfast,,https://goo.gl/maps/weimei,false,莊敬店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-070,BR-TWGTEA,TWG Tea,TWG Tea Salon & Boutique,TWG Tea|TWG|TWG沙龍,twgtea.com,https://twgtea.com/locations/asia-pacific/taiwan/taipei/twg-tea-salon-boutique-at-taipei-101-mall,false,台北101店,信義區,included,,eason,2026-09-09,official_site|field_verification,xinyi-dining-2026h2-v1.0
XY-071,,Just Grill,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-072,,永心鳳茶,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-073,,歐帕希臘小館,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-074,,Osteria by Angie,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-075,,紅花鐵板燒,,,,,false,台北101旗艦店,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-076,BR-KAIFUN,開飯川食堂,,,kaifun.com.tw,,false,台北阪急店,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-077,,珍寶海鮮台北信義店,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-078,,酮版低糖餐廳,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-079,BR-LEBLEDOR,金色三麥,,,lebledor.com,,false,微風南山店,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-080,BR-RICE1923,稻舍食館,,,rice1923.com,,false,統一時代店,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-081,BR-DIMDIMSUM,點點心,,,dimdimsum.tw,,false,,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-082,,Herbivore,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-083,,Cheers,,,,,false,台北君悅酒店,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-084,BR-VERYTHAI,非常泰概念餐坊,,,verythai.com.tw,,false,Neo19店,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-085,,段純貞牛肉麵,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-086,BR-ZONZEN,燒肉中山 Zonzen,,,zonzen.com.tw,,false,,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-087,,Seasons by Olivier E.,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-088,BR-THAITOWN,瓦城泰國料理,,,thaitown.com.tw,,true,松山車站店,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-089,,The Chapter Cafe,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-090,,One Rule,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-091,,勝博殿日式炸豬排,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-092,,輪輪1976 和食茶酒驛,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-093,BR-KHANAKHAZANA,Khana Khazana Indian Kitchen,,,khanakhazana.com.tw,,false,,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-094,,施家麻油腰花,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-095,,鯤壽司,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-096,BR-BHEARTNOODLES,大心新泰式麵食,,,bheartnoodles.com,,false,台北信義威秀店,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-097,,納達吉印度料理 Nataraj,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-098,,北平都一處,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-099,,小後苑,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-100,BR-HEYAHH,百家班活蝦店,,,heyahh.com.tw,,false,基隆路店,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-101,,北平陶然亭 Beijing－Do It True,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-102,,NOLA Kitchen,,,,,false,信義店,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-103,,阮小越,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-104,,牛かつもと村－遠百信義A13,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-105,BR-THAITOWN,瓦城泰國料理,,,thaitown.com.tw,,true,新光三越信義店,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-106,BR-KUROGEYA,黑毛屋信義店,,,honke.kurogeya.com.tw,,false,,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-107,,陳根找茶,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-108,,戴記獨臭之家,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-109,,楓樹韓國烤肉,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-110,BR-SIAMMORE,饗泰多,,,siammore.com.tw,,false,松高店,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-111,BR-SUBWAY,SUBWAY Taipei 101,,,subway.com.tw,,false,,信義區,pending,,,,brand_root_candidate_needs_manual_confirmation,xinyi-140-draft-v0.1
XY-112,,心月懷石日本料理,,,,,false,,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
XY-113,,周胖子餃子館,,,,,false,忠孝店,信義區,pending,,,,no_confirmed_brand_root,xinyi-140-draft-v0.1
