candidate_id,candidate_name,cuisine_stratum,business_type_stratum,price_band,legacy_priority,provisional_brand_domain,source_review_status,eligibility_decision,eligibility_reviewer,eligibility_reviewed_at,evidence_urls,official_site_url,official_domain_status,shared_domain_flag,owned_urls,measurement_eligibility,cohort_status,cohort_exclusion_reason,baseline_active_status,selected_for_measurement,selection_reason,notes
11,凱菲屋－台北君悅酒店,自助餐,連鎖／飯店,$$$,P1 優先,hyatt.com,verified_active,include,eason,2026-09-09,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/cafe,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/cafe,shared_domain,true,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/cafe,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松壽路2號1樓；品牌：凱菲屋
12,一蘭拉麵－台灣台北本店,日式,連鎖／飯店,$$,P1 優先,ichiran.com.tw,verified_active,include,eason,2026-09-09,https://ichiran.com.tw/shop/stores.aspx,https://ichiran.com.tw/shop/stores.aspx,verified_first_party,false,https://ichiran.com.tw/shop/stores.aspx,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松仁路97號；品牌：一蘭拉麵
13,Texas Roadhouse,西式,連鎖／飯店,$$,P1 優先,texasroadhouse.com.tw,verified_active,include,eason,2026-09-09,https://texasroadhouse.com.tw/|https://www.breeze.com.tw/floor/store/134,https://texasroadhouse.com.tw/,verified_first_party,false,https://texasroadhouse.com.tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松高路16號3樓；品牌：Texas Roadhouse 德州鮮切牛排
14,彩日本料理－台北君悅酒店,日式,連鎖／飯店,$$$,P1 優先,hyatt.com,verified_active,include,eason,2026-09-09,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/irodori|https://www.tablecheck.com/zh-TW/grand-hyatt-taipei-irodori/reserve,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/irodori,shared_domain,true,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/irodori,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松壽路2號3樓；品牌：彩日本料理
15,INPARADISE 饗饗,自助餐,連鎖／飯店,$$$$,P1 優先,inparadise.com.tw,verified_active,include,eason,2026-09-09,https://inparadise.com.tw/zh-TW/store/Xinyi|https://inparadise.com.tw/,https://inparadise.com.tw/zh-TW/store/Xinyi,verified_first_party,false,https://inparadise.com.tw/zh-TW/store/Xinyi,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區忠孝東路五段68號46樓；品牌：INPARADISE 饗饗
16,Top Cap Steakhouse,西式,獨立／地方品牌,$$$,P2 補足多樣性,dannycompany.com.tw,verified_active,include,eason,2026-09-09,https://www.dannycompany.com.tw/home/top-cap-steakhouse/|https://www.skm.com.tw/brand/11095,https://www.dannycompany.com.tw/home/top-cap-steakhouse/,shared_domain,true,https://www.dannycompany.com.tw/home/top-cap-steakhouse/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松高路19號5樓；品牌：Top Cap Steakhouse
17,海底撈台灣信義店（微風南山）,鍋物,連鎖／飯店,$$,P1 優先,haidilao.com,verified_active,include,eason,2026-09-09,https://www.haidilao.com/tw/|https://www.breeze.com.tw/floor/store/1043,https://www.haidilao.com/tw/,shared_domain,true,https://www.haidilao.com/tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松智路17號B2；品牌：海底撈火鍋
18,鼎泰豐（信義新光A4店）,台／中式,連鎖／飯店,$$,P1 優先,dintaifung.com.tw,verified_active,include,eason,2026-09-09,https://www.dintaifung.com.tw/store-detail.php?id=253|https://www.skm.com.tw/brand/11075,https://www.dintaifung.com.tw/store-detail.php?id=253,shared_domain,true,https://www.dintaifung.com.tw/store-detail.php?id=253,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松高路19號B2；品牌：鼎泰豐
19,泰集 Thai Bazaar（微風信義店）,東南／南亞,連鎖／飯店,$$,P1 優先,thaibazaar.com.tw,verified_excluded,exclude,eason,2026-09-09,https://www.breeze.com.tw/,http://www.thaibazaar.com.tw/,verified_first_party,false,http://www.thaibazaar.com.tw/,exclude,excluded,closed_business: 微風信義店租約到期已結束營業歇業,closed,exclude,closed_business: 微風信義店租約到期已結束營業歇業,地址：台北市信義區忠孝東路五段68號4樓；品牌：泰集 Thai Bazaar
20,探索廚房－台北寒舍艾美酒店,自助餐,連鎖／飯店,$$$,P1 優先,lemeridien-taipei.com,verified_active,include,eason,2026-09-09,https://www.lemeridien-taipei.com/websev?cat=restaurant&id=5,https://www.lemeridien-taipei.com/websev?cat=restaurant&id=5,shared_domain,true,https://www.lemeridien-taipei.com/websev?cat=restaurant&id=5,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松仁路38號1樓；品牌：探索廚房
21,勞瑞斯牛肋排餐廳,台／中式,連鎖／飯店,$$$$,P1 優先,lawrys.com.tw,verified_active,include,eason,2026-09-09,https://www.lawrys.com.tw/about.php|https://www.lawrys.com.tw/,https://www.lawrys.com.tw/about.php,verified_first_party,false,https://www.lawrys.com.tw/about.php,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松仁路105號B1；品牌：勞瑞斯牛肋排餐廳
22,CÉ LA VI Taipei,西式,獨立／地方品牌,$$$$,P2 補足多樣性,celavi.com,verified_active,include,eason,2026-09-09,https://tw.celavi.com/zh-tw|https://tw.celavi.com/,https://tw.celavi.com/zh-tw,verified_first_party,false,https://tw.celavi.com/zh-tw,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松智路17號48樓；品牌：CÉ LA VI Taipei
23,侯布雄法式餐廳,西式,連鎖／飯店,$$$$,P1 優先,bellavita.com.tw,verified_active,include,eason,2026-09-09,https://www.bellavita.com.tw/cht/store.php?d=94|http://www.robuchon.tw/,https://www.bellavita.com.tw/cht/store.php?d=94,shared_domain,true,https://www.bellavita.com.tw/cht/store.php?d=94,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松仁路28號5樓；品牌：L'Atelier de Joël Robuchon 侯布雄法式餐廳
24,老乾杯－台北信義店,燒肉／鐵板,連鎖／飯店,$$$,P1 優先,kanpaiclassic.com.tw,verified_active,include,eason,2026-09-09,https://www.kanpaiclassic.com.tw/zh/branch|https://www.skm.com.tw/brand/11090,https://www.kanpaiclassic.com.tw/zh/branch,verified_first_party,false,https://www.kanpaiclassic.com.tw/zh/branch,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松壽路9號8樓；品牌：老乾杯
25,French Windows－British TeaHouse,咖啡／輕食,獨立／地方品牌,$$,P3 備援／先驗證,frenchwindows.com,verified_excluded,exclude,eason,2026-09-09,https://goo.gl/maps/frenchwindows,https://www.frenchwindows.com/,verified_first_party,false,,exclude,excluded,closed_business: 店面租約到期已結束營業歇業,closed,exclude,closed_business: 店面租約到期已結束營業歇業,地址：台北市信義區忠孝東路五段31巷18弄3號；品牌：琺蘭綺瑥朵英式茶館
26,欣葉台菜－信義A9店,台／中式,連鎖／飯店,$$,P1 優先,shinyeh.com.tw,verified_active,include,eason,2026-09-09,https://www.shinyeh.com.tw/content/zh/brand/Store.aspx?BrandId=1&Id=1|https://www.skm.com.tw/brand/11089,https://www.shinyeh.com.tw/content/zh/brand/Store.aspx?BrandId=1&Id=1,shared_domain,true,https://www.shinyeh.com.tw/content/zh/brand/Store.aspx?BrandId=1&Id=1,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松壽路9號8樓；品牌：欣葉台菜
27,Meat Love 橡木炭火韓國烤肉,燒肉／鐵板,獨立／地方品牌,$$,P2 補足多樣性,meatlove.tw,verified_active,include,eason,2026-09-09,https://meatlove.tw/|https://goo.gl/maps/meatlove,https://meatlove.tw/,verified_first_party,false,https://meatlove.tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區信義路四段468號1樓；品牌：Meat Love 橡木炭火韓國烤肉
28,Saffron 46,東南／南亞,獨立／地方品牌,$$$$,P2 補足多樣性,saffron46.com,verified_active,include,eason,2026-09-09,https://www.saffron46.com/|https://www.breeze.com.tw/floor/store/1041,https://www.saffron46.com/,verified_first_party,false,https://www.saffron46.com/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松智路17號46樓；品牌：Saffron 46 番紅花四十六
29,春水堂－松菸店,台／中式,連鎖／飯店,$$,P1 優先,chunshuitang.com.tw,verified_active,include,eason,2026-09-09,https://www.chunshuitang.com.tw/location-detail/41,https://www.chunshuitang.com.tw/location-detail/41,shared_domain,true,https://www.chunshuitang.com.tw/location-detail/41,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區光復南路133號；品牌：春水堂人文茶館
30,Woolloomooloo,西式,獨立／地方品牌,$$,P2 補足多樣性,woolloomooloo.tw,verified_active,include,eason,2026-09-09,https://woolloomooloo.tw/|https://goo.gl/maps/wlm,https://woolloomooloo.tw/,verified_first_party,false,https://woolloomooloo.tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區信義路四段379號；品牌：Woolloomooloo
31,馬辣頂級麻辣鴛鴦火鍋信義店,鍋物,連鎖／飯店,$$,P1 優先,mala.com.tw,verified_active,include,eason,2026-09-09,https://www.mala.com.tw/|https://inline.app/booking/mala,https://www.mala.com.tw/,verified_first_party,false,https://www.mala.com.tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松壽路22號3樓；品牌：馬辣頂級麻辣鴛鴦火鍋
32,饗食天堂信義店,自助餐,連鎖／飯店,$$,P1 優先,eatogether.com.tw,verified_active,include,eason,2026-09-09,https://www.eatogether.com.tw/zh-TW/store/EAT007|https://www.att4fun.com.tw/,https://www.eatogether.com.tw/zh-TW/store/EAT007,verified_first_party,false,https://www.eatogether.com.tw/zh-TW/store/EAT007,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松壽路12號6樓；品牌：饗食天堂
33,Smith & Wollensky 牛排館,西式,連鎖／飯店,$$$$,P1 優先,smithandwollensky.com.tw,verified_active,include,eason,2026-09-09,https://smithandwollensky.com.tw/|https://www.breeze.com.tw/floor/store/1042,https://smithandwollensky.com.tw/,verified_first_party,false,https://smithandwollensky.com.tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松智路17號47樓；品牌：Smith & Wollensky Taipei
34,頂鮮101美食美景餐廳,台／中式,獨立／地方品牌,$$$$,P3 備援／先驗證,dingxian.com.tw,verified_excluded,exclude,eason,2026-09-09,https://www.taipei-101.com.tw/tw/shopping/dining,https://dingxian.com.tw/,verified_first_party,false,https://dingxian.com.tw/,exclude,excluded,closed_business: 台北101高空景觀餐廳租約到期已於2021年底撤場歇業（原址現由捌伍添第85TD接手營運）,closed,exclude,closed_business: 台北101高空景觀餐廳租約到期已於2021年底撤場歇業（原址現由捌伍添第85TD接手營運）,地址：台北市信義區信義路五段7號86樓；品牌：頂鮮101美食美景餐廳
35,心潮飯店 Sinchao Rice Shoppe,台／中式,獨立／地方品牌,$$$,P2 補足多樣性,breeze.com.tw,verified_active,include,eason,2026-09-09,https://www.breeze.com.tw/floor/store/267|https://inline.app/booking/sinchao,https://www.breeze.com.tw/floor/store/267,shared_domain,true,https://www.breeze.com.tw/floor/store/267,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區忠孝東路五段68號2樓；品牌：心潮飯店 Sinchao Rice Shoppe
36,Hooters Xinyi 美式餐廳,西式,連鎖／飯店,$$,P1 優先,hooters.com.tw,verified_active,include,eason,2026-09-09,https://www.hooters.com.tw/en/category/event/xinyi/|https://www.feds.com.tw/tw/55/Shop/1655,https://www.hooters.com.tw/en/category/event/xinyi/,verified_first_party,false,https://www.hooters.com.tw/en/category/event/xinyi/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松仁路58號14樓；品牌：Hooters Taipei Xinyi 美式餐廳
37,凱林鐵板燒,燒肉／鐵板,獨立／地方品牌,$$,P3 備援／先驗證,karenteppanyaki.com,verified_active,include,eason,2026-09-09,http://karenteppanyaki.com/|https://www.taipei-101.com.tw/tw/shopping/dining,http://karenteppanyaki.com/,verified_first_party,false,http://karenteppanyaki.com/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區市府路45號B1；品牌：凱林鐵板燒
38,DA ANTONIO By 大安東尼,台／中式,獨立／地方品牌,$$,P2 補足多樣性,dt101.com.tw,verified_active,include,eason,2026-09-09,https://www.dt101.com.tw/|https://www.taipei-101.com.tw/tw/shopping/dining,https://www.dt101.com.tw/,shared_domain,true,https://www.dt101.com.tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區市府路45號5樓；品牌：DA ANTONIO By 大安東尼
39,樂天皇朝台灣,台／中式,獨立／地方品牌,$$,P2 補足多樣性,paradisegp.com,verified_active,include,eason,2026-09-09,https://www.paradisegp.com/tc/tw/|https://www.breeze.com.tw/floor/store/273,https://www.paradisegp.com/tc/tw/,shared_domain,true,https://www.paradisegp.com/tc/tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區忠孝東路五段68號4樓；品牌：樂天皇朝
40,TGI Friday's,西式,連鎖／飯店,$$,P1 優先,tgifridays.com.tw,verified_active,include,eason,2026-09-09,https://tgifridays.com.tw/|https://www.uni-ustyle.com.tw/,https://tgifridays.com.tw/,verified_first_party,false,https://tgifridays.com.tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區忠孝東路五段8號2樓；品牌：TGI FRIDAYS 星期五餐廳
41,欣葉日本料理信義店,日式,連鎖／飯店,$$,P1 優先,shinyeh.com.tw,verified_active,include,eason,2026-09-09,https://www.shinyeh.com.tw/content/zh/brand/Store.aspx?BrandId=4&Id=13|https://www.skm.com.tw/brand/11054,https://www.shinyeh.com.tw/content/zh/brand/Store.aspx?BrandId=4&Id=13,shared_domain,true,https://www.shinyeh.com.tw/content/zh/brand/Store.aspx?BrandId=4&Id=13,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松壽路11號5樓；品牌：欣葉日本料理
42,莫爾頓牛排館,西式,連鎖／飯店,$$$$,P1 優先,mortons.com,verified_active,include,eason,2026-09-09,https://www.mortons.com/location/mortons-the-steakhouse-taipei-taiwan/|https://www.breeze.com.tw/floor/store/286,https://www.mortons.com/location/mortons-the-steakhouse-taipei-taiwan/,verified_first_party,false,https://www.mortons.com/location/mortons-the-steakhouse-taipei-taiwan/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區忠孝東路五段68號45樓；品牌：莫爾頓牛排館
43,春水堂－信義新光三越A9店,台／中式,連鎖／飯店,$$,P1 優先,chunshuitang.com.tw,verified_active,include,eason,2026-09-09,https://www.chunshuitang.com.tw/location-detail/40|https://www.skm.com.tw/brand/11088,https://www.chunshuitang.com.tw/location-detail/40,shared_domain,true,https://www.chunshuitang.com.tw/location-detail/40,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松壽路9號B1；品牌：春水堂人文茶館
44,瓦城泰國料理－台北阪急店,東南／南亞,連鎖／飯店,$$,P1 優先,thaitown.com.tw,verified_active,include,eason,2026-09-09,https://www.thaitown.com.tw/store/1|https://www.uni-ustyle.com.tw/,https://www.thaitown.com.tw/store/1,shared_domain,true,https://www.thaitown.com.tw/store/1,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區忠孝東路五段8號7樓；品牌：瓦城泰國料理
45,GB鮮釀餐廳信義店,台／中式,連鎖／飯店,$$,P1 優先,gbarestaurants.com.tw,verified_active,include,eason,2026-09-09,https://www.gbarestaurants.com.tw/|https://www.skm.com.tw/brand/11053,https://www.gbarestaurants.com.tw/,verified_first_party,false,https://www.gbarestaurants.com.tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松壽路11號2樓；品牌：GB鮮釀餐廳
46,Bel Air Bar & Grill,西式,獨立／地方品牌,$$,P2 補足多樣性,hyatt.com,verified_active,include,eason,2026-09-09,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/bel-air-bar-and-grill,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/bel-air-bar-and-grill,shared_domain,true,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/bel-air-bar-and-grill,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松壽路2號2樓；品牌：寶艾西餐廳 Bel Air Bar & Grill
47,茶苑－台北君悅酒店,咖啡／輕食,連鎖／飯店,$$$,P1 優先,hyatt.com,verified_active,include,eason,2026-09-09,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/cha-yuan,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/cha-yuan,shared_domain,true,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/cha-yuan,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松壽路2號2樓；品牌：茶苑
48,漂亮台式海鮮餐廳,台／中式,獨立／地方品牌,$$,P2 補足多樣性,hyatt.com,verified_active,include,eason,2026-09-09,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/pearl-liang,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/pearl-liang,shared_domain,true,https://www.hyatt.com/grand-hyatt/zh-HK/taigh-grand-hyatt-taipei/dining/pearl-liang,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松壽路2號2樓；品牌：漂亮廣式海鮮餐廳
49,燒肉同話－台北光復南店,燒肉／鐵板,連鎖／飯店,$$,P1 優先,chagether.com.tw,verified_excluded,exclude,eason,2026-09-09,https://goo.gl/maps/chagether,http://www.chagether.com.tw/,verified_first_party,false,http://www.chagether.com.tw/,exclude,excluded,closed_business: 台北光復南店租約到期已結束營業歇業,closed,exclude,closed_business: 台北光復南店租約到期已結束營業歇業,地址：台北市信義區光復南路487號；品牌：燒肉同話
50,厲家菜,台／中式,獨立／地方品牌,$$,P3 備援／先驗證,bellavita.com.tw,verified_excluded,exclude,eason,2026-09-09,https://www.bellavita.com.tw/,https://www.bellavita.com.tw/,shared_domain,true,https://www.bellavita.com.tw/,exclude,excluded,closed_business: BELLAVITA寶麗廣塲店面合約到期結束營業歇業,closed,exclude,closed_business: BELLAVITA寶麗廣塲店面合約到期結束營業歇業,地址：台北市信義區松仁路28號3樓；品牌：厲家菜
51,小南門傳統豆花美食,咖啡／輕食,獨立／地方品牌,$,P2 補足多樣性,snmfood.com.tw,verified_active,include,eason,2026-09-09,http://www.snmfood.com.tw/|https://www.breeze.com.tw/,http://www.snmfood.com.tw/,verified_first_party,false,http://www.snmfood.com.tw/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松高路16號B2；品牌：小南門傳統豆花美食
52,徐淮人家,台／中式,獨立／地方品牌,$$,P3 備援／先驗證,xuhuai.tw,verified_excluded,exclude,eason,2026-09-09,https://goo.gl/maps/xuhuai,https://www.xuhuai.tw/,verified_first_party,false,,exclude,excluded,closed_business: 永吉路巷內店面已結束營業歇業,closed,exclude,closed_business: 永吉路巷內店面已結束營業歇業,地址：台北市信義區永吉路180巷66弄37號；品牌：徐淮人家
53,夜上海,台／中式,獨立／地方品牌,$$,P2 補足多樣性,elite-concepts.com,verified_active,include,eason,2026-09-09,https://www.elite-concepts.com/restaurants/ye-shanghai/taipei/zh/|https://www.skm.com.tw/brand/11097,https://www.elite-concepts.com/restaurants/ye-shanghai/taipei/zh/,shared_domain,true,https://www.elite-concepts.com/restaurants/ye-shanghai/taipei/zh/,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松高路19號5樓；品牌：夜上海
54,Joyce East,西式,獨立／地方品牌,$$,P2 補足多樣性,joycecafetw.com,verified_active,include,eason,2026-09-09,https://www.joycecafetw.com/joyce-east|https://goo.gl/maps/joyceeast,https://www.joycecafetw.com/joyce-east,verified_first_party,false,https://www.joycecafetw.com/joyce-east,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區信義路五段128號1樓；品牌：Joyce East 義法餐廳
55,添好運台北信義店,台／中式,連鎖／飯店,$$,P1 優先,timhowan.com.tw,verified_active,include,eason,2026-09-09,https://www.timhowan.com.tw/store/xinyi|https://www.skm.com.tw/brand/11077,https://www.timhowan.com.tw/store/xinyi,verified_first_party,false,https://www.timhowan.com.tw/store/xinyi,include,eligible,,operating,include,信義區正常營業實體餐廳，已驗證門市地址與第一方網域,地址：台北市信義區松高路19號B2；品牌：添好運
